,Restuarantid,Restaurant,Restaurant_Type,Price,Cuisine,Location,Area,Link,Timing,Dining_Review,Dining_Rating,Delivery_Rating,Delivery_Review
423,424,Monkey Bar,"Continental, North Indian, Beverages",2000,Continental," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/monkey-bar-church-street-bangalore/info,12noon – 1am (Today),45,3.8,0.0,0
424,425,Ebony,"North Indian, Biryani, South Indian, Thai, Seafood, Desserts, Beverages",1900,North Indian," Barton Centre, Bangalore",Barton Centre,https://www.zomato.com/bangalore/ebony-mg-road/info,"12noon – 3:30pm, 7pm – 11:30pm (Today)",3669,4.2,4.4,450
425,426,Daya's Kitchen,"Biryani, Chinese, Kebab",400,Biryani," Bommanahalli, Bangalore",Bommanahalli,https://www.zomato.com/bangalore/dayas-kitchen-bommanahalli-bangalore/info,12:15pm – 12midnight (Today),13,3.8,4.0,24
426,427,Tandoor | A Heritage Indian Restaurant & Bar,"North Indian, Mughlai, Kebab, Kashmiri, Seafood, Biryani, Grilled Chicken, Bar Food",1700,North Indian," MG Road, Bangalore",MG Road,https://www.zomato.com/bangalore/tandoor-a-heritage-indian-restaurant-bar-mg-road-bangalore/info,Opens tomorrow at 12noon,1813,3.5,3.8,546
427,428,PiJJA,"Italian, Pizza, Pasta",500,Italian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/pijja-2-indiranagar-bangalore/info,8am – 12midnight (Today),141,4.3,3.9,60
428,429,Cosmo Dhaba,"North Indian, Biryani, Chinese, Sandwich, Burger, Pasta, Fast Food, Beverages",550,North Indian," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/cosmo-dhaba-hsr-bangalore/info,Opens tomorrow at 11:30am,176,3.9,3.8,138
429,430,Record Room,"Sushi, Bar Food, Pizza, Desserts, Beverages",2500,Sushi," MG Road, Bangalore",MG Road,https://www.zomato.com/bangalore/record-room-mg-road-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",554,4.5,4.0,6
430,431,Tiddly Tavern Bar & Grill,"South Indian, North Indian, Continental, Pizza, Asian, Chinese, Seafood",1000,South Indian," Ascendas Park Square, Whitefield, Bangalore",Ascendas Park Square,https://www.zomato.com/bangalore/tiddly-tavern-bar-grill-2-whitefield-bangalore/info,12noon – 11:45pm (Today),458,4.2,3.6,8
431,432,The Whitefield Arms Pub & Microbrewery,"Modern Indian, Continental, BBQ",2000,Modern Indian," VR Bengaluru, Whitefield, Bangalore",VR Bengaluru,https://www.zomato.com/bangalore/the-whitefield-arms-pub-microbrewery-whitefield-bangalore/info,,2413,4.1,4.3,268
432,433,Paradise Biryani - A Legend Since 1953,"Biryani, Kebab, North Indian, Rolls, Chinese, Desserts",1100,Biryani," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/paradise-biryani-a-legend-since-1953-jp-nagar-bangalore/info,"12midnight – 2am, 11am – 12midnight (Today)",2207,3.7,4.3,26800
433,434,Ithaca - The Chancery Pavilion,"North Indian, Chinese, South Indian, Asian, Pasta, Street Food, Fast Food, Desserts",2500,North Indian," The Chancery Pavilion, Residency Road, Bangalore",The Chancery Pavilion,https://www.zomato.com/bangalore/ithaca-the-chancery-pavilion-residency-road/info,Opens tomorrow at 7am,760,3.8,0.0,0
434,435,KFC,"Burger, Fast Food, Rolls",400,Burger," Embassy Manyata Business Park,  Nagawara , Bangalore",Embassy Manyata Business Park,https://www.zomato.com/bangalore/kfc-nagawara/info,Opens tomorrow at 11am,498,3.8,4.0,8840
435,436,Chez Mariannick,"French, Pizza, Bakery, Salad, Desserts",1100,French," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/chez-mariannick-whitefield/info,Opens tomorrow at 10am,478,4.2,0.0,0
436,437,24th Main,"North Indian, Chinese, Biryani",1200,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/24th-main-jp-nagar/info,Opens tomorrow at 12noon,1369,3.8,4.0,747
437,438,Gwalia,"North Indian, Street Food, Ice Cream, Mithai, Desserts",250,North Indian," ITPL Main Road, Whitefield, Bangalore",ITPL Main Road,https://www.zomato.com/bangalore/gwalia-itpl-main-road-whitefield-bangalore/info,8am – 12midnight (Today),218,3.9,3.8,770
438,439,Shift Lounge & Bar,"North Indian, Chinese, Desserts, Beverages",1500,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/shift-lounge-bar-marathahalli-bangalore/info,11am – 12midnight (Today),64,4.2,0.0,0
439,440,Mitico Coffee Roasters,"Cafe, Continental, Italian, Burger, North Indian, Salad, Shake, Beverages",900,Cafe," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/mitico-coffee-roasters-koramangala-5th-block-bangalore/info,11am – 12midnight (Today),275,4.4,4.2,94
440,441,Seta,"Asian, Mediterranean, Chinese, Desserts",2500,Asian," Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore",Hilton Bangalore Embassy GolfLinks,https://www.zomato.com/bangalore/seta-domlur-bangalore/info,6:30pm – 11:30pm (Today),226,4.6,0.0,0
441,442,Hokkaido Japanese & Korean Restaurants,"Japanese, Korean",2000,Japanese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/hokkaido-japanese-korean-restaurants-indiranagar-bangalore/info,Opens tomorrow at 12noon,333,4.1,4.0,14
442,443,Hoppipola,"Continental, Italian, Chinese, North Indian, Pizza, Beverages",2000,Continental," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/hoppipola-church-street/info,12noon – 1am (Today),2768,4.1,4.5,125
443,444,Sathya's,"North Indian, Chinese, Beverages",1400,North Indian," Koramangala 3rd Block, Bangalore",Koramangala 3rd Block,https://www.zomato.com/bangalore/sathyas-koramangala-3rd-block/info,10am – 12midnight (Today),927,4.1,0.0,0
444,445,Subz,"North Indian, Chinese, Desserts, Beverages",1200,North Indian," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/subz-jayanagar/info,Opens tomorrow at 12noon,2187,4.0,3.7,473
445,446,Kathpal's,"North Indian, Chinese, Biryani, Street Food, Desserts, Beverages",1000,North Indian," Vega City, Bannerghatta Road, Bangalore",Vega City,https://www.zomato.com/bangalore/kathpals-bannerghatta-road-bangalore/info,11:30am – 11:30pm (Today),1555,4.2,4.2,898
446,447,Elysium By Stories,"South Indian, North Indian, Fast Food, Oriental",1400,South Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/elysium-by-stories-sarjapur-road-bangalore/info,,1206,4.3,0.0,0
447,448,Isobel,"Cafe, Continental, Italian, Beverages",700,Cafe," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/isobel-1-jayanagar-bangalore/info,8am – 12midnight (Today),113,4.2,3.9,22
448,449,The Market - The Ritz-Carlton,"North Indian, European, Asian",3000,North Indian," The Ritz-Carlton, Bangalore, Bangalore",The Ritz-Carlton,https://www.zomato.com/bangalore/the-market-the-ritz-carlton-residency-road/info,6:30am – 12:30am (Today),1066,4.1,4.1,60
449,450,Just BLR Arena,"Continental, North Indian, Italian, Beverages",1800,Continental," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/just-blr-arena-1-brigade-road-bangalore/info,7pm – 12:45am (Today),1313,4.4,0.0,0
450,451,Kenzai,"Asian, Japanese, Chinese, Salad, Desserts, Beverages",1700,Asian," Garuda Mall, Magrath Road, Bangalore",Garuda Mall,https://www.zomato.com/bangalore/kenzai-brigade-road-bangalore/info,Opens tomorrow at 12noon,212,4.3,4.0,28
451,452,Graffiti by HOC,"Continental, Chinese, Modern Indian, Beverages",1000,Continental," Kalyan Nagar, Bangalore",Kalyan Nagar,https://www.zomato.com/bangalore/graffiti-by-hoc-kalyan-nagar-bangalore/info,10:30am – 1am (Today),151,4.3,0.0,0
452,453,Sultans Of Spice,"North Indian, Mughlai, Afghan, Biryani, Desserts, Beverages",1700,North Indian," BluPetal Hotel, Koramangala, Bangalore",BluPetal Hotel,https://www.zomato.com/bangalore/sultans-of-spice-koramangala-5th-block-bangalore/info,Opens tomorrow at 12noon,4551,4.4,4.1,1969
453,454,Sardarji Londonwaley,"North Indian, Chinese, Mughlai, Biryani, Beverages",950,North Indian," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/sardarji-londonwaley-koramangala-7th-block-bangalore/info,"12midnight – 3am, 11am – 12midnight (Today)",917,3.4,3.9,38300
454,455,Tea Villa Cafe,"Cafe, Continental, Chinese, Mexican, Fast Food, Tea, Beverages, Desserts",1400,Cafe," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/tea-villa-cafe-jayanagar-bangalore/info,Opens tomorrow at 10:30am,2555,4.0,4.0,500
455,456,Mangroove Retreat Dining,"Chinese, Asian",2500,Chinese," Electronic City, Bangalore",Electronic City,https://www.zomato.com/bangalore/mangroove-retreat-dining-electronic-city-bangalore/info,12noon – 12midnight (Today),35,4.0,0.0,0
456,457,Parika Multicuisine & Coastal Fine Dine,"Mangalorean, Seafood, North Indian, Asian, Chinese, South Indian, Desserts, Beverages",1300,Mangalorean," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/parika-multicuisine-coastal-fine-dine-hsr/info,11:30am – 11:30pm (Today),1963,4.3,4.1,1757
457,458,Mainland China,"Chinese, Sushi, Seafood, Asian, Japanese, Beverages",2000,Chinese," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/mainland-china-1-church-street-bangalore/info,Opens tomorrow at 12noon,3338,4.4,4.3,1013
458,459,Rim Naam - The Oberoi,"Thai, Asian, Seafood, Desserts",5000,Thai," The Oberoi, Bengaluru, Bangalore",The Oberoi,https://www.zomato.com/bangalore/rim-naam-the-oberoi-mg-road-bangalore/info,"12:30pm – 3pm, 7:30pm – 11:30pm (Today)",1218,4.9,0.0,0
459,460,Naati Sthala,"Biryani, South Indian",550,Biryani," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/naati-sthala-jp-nagar-bangalore/info,12noon – 12midnight (Today),28,3.8,4.1,142
460,461,Taiki,"Korean, Japanese, Sushi, Salad, Desserts, Tea, Beverages",700,Korean," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/taiki-jp-nagar-bangalore/info,Opens tomorrow at 12noon,276,4.2,4.0,18
461,462,Onesta,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages",1000,Pizza," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/onesta-hsr/info,11am – 12midnight (Today),5769,4.2,3.4,16600
462,463,The Rice Bowl,"Asian, Chinese, Sichuan, Seafood, Desserts",1600,Asian," Hotel Southern Star, Lavelle Road, Bangalore",Hotel Southern Star,https://www.zomato.com/bangalore/the-rice-bowl-1-lavelle-road/info,Opens tomorrow at 12noon,1277,4.3,4.4,890
463,464,Kharva Resto Bar,"Chinese, Fast Food, Seafood, Continental, North Indian, Modern Indian, Biryani, Desserts",1000,Chinese," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/kharva-resto-bar-sarjapur-road-bangalore/info,12noon – 11:45pm (Today),669,4.2,4.2,648
464,465,The Drawing Room By Smoke House Deli,"Continental, Italian, Beverages",3000,Continental," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/the-drawing-room-by-smoke-house-deli-indiranagar-bangalore/info,12noon – 1am (Today),65,4.4,0.0,0
465,466,1522 - The Pub,"Bar Food, North Indian, Mughlai, Chinese, Oriental, Pasta, Desserts, Beverages",2500,Bar Food," Kalyan Nagar, Bangalore",Kalyan Nagar,https://www.zomato.com/bangalore/1522-the-pub-kalyan-nagar-bangalore/info,11:30am – 12midnight (Today),15,3.9,0.0,0
466,467,Mooch Marod,"North Indian, Beverages",600,North Indian," Koramangala 6th Block, Bangalore",Koramangala 6th Block,https://www.zomato.com/bangalore/mooch-marod-koramangala-6th-block-bangalore/info,"11:30am – 4:30pm, 6:30pm – 11:30pm (Today)",3078,4.2,3.7,89
467,468,Bg'S Poolside Bar & Grill - Courtyard By Marriott,"Mediterranean, Italian, Mexican, Fast Food, Desserts",2000,Mediterranean," Courtyard by Marriott, Bellandur, Bangalore",Courtyard by Marriott,https://www.zomato.com/bangalore/bgs-poolside-bar-grill-courtyard-by-marriott-bellandur-bangalore/info,4pm – 1am (Today),385,4.2,0.0,0
468,469,Tree Tops Bar & Kitchen,"Finger Food, North Indian, Chinese, Burger, Seafood, Desserts",1300,Finger Food," Hotel Southern Star, Lavelle Road, Bangalore",Hotel Southern Star,https://www.zomato.com/bangalore/tree-tops-bar-kitchen-lavelle-road-bangalore/info,12noon – 12:30am (Today),1423,4.2,4.0,16
469,470,Quattro - The Leela Bhartiya City Bengaluru,"North Indian, Mediterranean, European",3500,North Indian," The Leela Bhartiya City, Bengaluru, Bangalore",The Leela Bhartiya City,https://www.zomato.com/bangalore/quattro-the-leela-bhartiya-city-bengaluru-jakkur-bangalore/info,Opens tomorrow at 7am,333,4.2,4.2,297
470,471,Shift Lounge & Bar,"Continental, Bar Food, North Indian, Italian, Chinese, Mughlai, Desserts, Beverages",2000,Continental," Bommanahalli, Bangalore",Bommanahalli,https://www.zomato.com/bangalore/shift-lounge-bar-bommanahalli-bangalore/info,11am – 12:30am (Today),683,4.5,0.0,0
471,472,CEVI,"North Indian, Biryani, Seafood, Beverages, Desserts",1500,North Indian," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/cevi-hsr-bangalore/info,Opens tomorrow at 12noon,189,4.5,3.7,14
472,473,Hyderabad Biryaani House - Since 2003,"Biryani, North Indian, Chinese, Mughlai, Seafood, Beverages, Desserts",950,Biryani," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/hyderabad-biryaani-house-since-2003-koramangala-5th-block-bangalore/info,"11:30am – 4pm, 6:30pm – 1am (Today)",947,4.0,3.9,31400
473,474,Copper + Cloves,"Salad, Healthy Food, Sandwich, Coffee, Beverages, Juices",600,Salad," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/copper-cloves-indiranagar-bangalore/info,Opens tomorrow at 9:30am,37,4.4,0.0,0
474,475,Societe Rangoon,"Burmese, Asian",1000,Burmese," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/societe-rangoon-jp-nagar-bangalore/info,Opens tomorrow at 12noon,156,4.0,2.9,5
475,476,Iris Cafe,"Irish, Italian, Beverages, Desserts",950,Irish," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/iris-cafe-hsr-bangalore/info,Opens tomorrow at 10am,1325,4.1,4.1,73
476,477,Meghana Foods,"Biryani, Andhra, North Indian, Seafood",1000,Biryani," Residency Road, Bangalore",Residency Road,https://www.zomato.com/bangalore/meghana-foods-residency-road/info,"12midnight – 1:30am, 11:30am – 12midnight (Today)",2321,4.2,4.4,32400
477,478,Kebabs & Kurries - ITC Gardenia,"North Indian, Kebab, Seafood",3000,North Indian," ITC Gardenia, Bangalore",ITC Gardenia,https://www.zomato.com/bangalore/kebabs-kurries-itc-gardenia-residency-road-bangalore/info,"12:30pm – 2:45pm, 7pm – 11:30pm (Today)",454,4.3,0.0,3
478,479,Element X Resto Pub,Continental,2000,Continental," Koramangala 8th Block, Bangalore",Koramangala 8th Block,https://www.zomato.com/bangalore/element-x-resto-pub-1-koramangala-8th-block-bangalore/info,Opens tomorrow at 11:45am,37,4.0,0.0,0
479,480,The Bangalore Dhaba,"North Indian, Biryani, Chinese, Mughlai, Fast Food, Momos, Desserts, Beverages",1200,North Indian," Kalyan Nagar, Bangalore",Kalyan Nagar,https://www.zomato.com/bangalore/the-bangalore-dhaba-kalyan-nagar-bangalore/info,"11:30am – 3:30pm, 7pm – 11:30pm (Today)",714,4.2,4.2,1126
480,481,Dolci Desserts,"Desserts, Bakery, Pasta, Street Food",850,Desserts," Cunningham Road, Bangalore",Cunningham Road,https://www.zomato.com/bangalore/dolci-desserts-cunningham-road/info,Opens tomorrow at 10:30am,1210,4.3,4.2,924
481,482,Smooth Criminal,"Chinese, North Indian, Pizza, Biryani, Desserts, Beverages, Continental",1000,Chinese," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/smooth-criminal-koramangala-5th-block-bangalore/info,12noon – 12midnight (Today),155,3.9,0.0,3
482,483,Eden Park,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian, Sichuan",1300,Andhra," Cunningham Road, Bangalore",Cunningham Road,https://www.zomato.com/bangalore/eden-park-cunningham-road/info,11:30am – 12midnight (Today),933,3.9,4.0,620
483,484,Kullad Cafe,"North Indian, Fast Food",400,North Indian," BTM, Bangalore",BTM,https://www.zomato.com/bangalore/kullad-cafe-btm/info,Opens tomorrow at 7:30am,804,3.8,4.1,45200
484,485,Hungry Hippie,"North Indian, Italian, Continental, Mexican, Pizza, Fast Food, Desserts, Beverages",1200,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/hungry-hippie-koramangala-5th-block/info,11am – 1am (Today),3471,4.2,4.1,92
485,486,Imperio Restaurant,"Biryani, Kebab, Chinese, North Indian, Arabian, South Indian, Shawarma, Desserts",1000,Biryani," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/imperio-restaurant-2-hsr-bangalore/info,"12midnight – 4am, 10am – 12midnight (Today)",219,4.0,3.8,7108
486,487,Lyfe Farm To Fork Restaurant & Pizzeria,"Chinese, Continental, Pizza, Pasta, Desserts",2000,Chinese," Varthur Main Road, Whitefield, Bangalore",Varthur Main Road,https://www.zomato.com/bangalore/lyfe-farm-to-fork-restaurant-pizzeria-varthur-main-road-whitefield-bangalore/info,Opens tomorrow at 12noon,78,4.2,0.0,0
487,488,Fire Station,"Finger Food, North Indian, Continental, Italian, Chinese, Beverages, Desserts",1700,Finger Food," Electronic City, Bangalore",Electronic City,https://www.zomato.com/bangalore/fire-station-electronic-city-bangalore/info,12noon – 1am (Today),4853,4.2,4.1,2458
488,489,Dofu,"Chinese, Korean, Japanese, Asian, Desserts, Beverages",1400,Chinese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/dofu-indiranagar-bangalore/info,Opens tomorrow at 12noon,1053,4.1,3.5,1062
489,490,Beijing Bites,"Chinese, Seafood, Thai, Rolls, Momos, Malaysian",1000,Chinese," Shubh Enclave, Bangalore",Shubh Enclave,https://www.zomato.com/bangalore/beijing-bites-sarjapur-road/info,Opens tomorrow at 12noon,711,3.6,4.0,7466
490,491,Masala Love & Co,"North Indian, Chinese, Street Food",1000,North Indian," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/masala-love-co-jayanagar-bangalore/info,Opens tomorrow at 11am,168,4.0,4.0,6
491,492,Starbucks Coffee,"Cafe, Coffee, Desserts, Beverages",600,Cafe," Ascendas Park Square, Whitefield, Bangalore",Ascendas Park Square,https://www.zomato.com/bangalore/starbucks-coffee-itpl-main-road-whitefield-bangalore/info,Opens tomorrow at 9am,153,4.1,4.1,1544
492,493,Bira 91 Limited Release Taproom,"Continental, Fast Food, Bar Food, North Indian, Italian, Beverages",2500,Continental," Koramangala 4th Block, Bangalore",Koramangala 4th Block,https://www.zomato.com/bangalore/bira-91-limited-release-taproom-koramangala-4th-block-bangalore/info,11am – 1am (Today),498,4.2,4.0,35
493,494,Nandhana Palace,"Andhra, Biryani, North Indian, Chinese, Desserts, Ice Cream, Beverages",1400,Andhra," Electronic City, Bangalore",Electronic City,https://www.zomato.com/bangalore/nandhana-palace-electronic-city-bangalore/info,"12midnight – 1am, 10am – 12midnight (Today)",1366,4.3,4.0,10400
494,495,The Rogue Elephant,"North Indian, Salad, Sandwich, Fast Food, Italian, Oriental, Desserts, Beverages",1200,North Indian," Basavanagudi, Bangalore",Basavanagudi,https://www.zomato.com/bangalore/the-rogue-elephant-basavanagudi-bangalore/info,Opens tomorrow at 11:30am,1283,4.0,4.0,5
495,496,Tutto Bene - Health Cafe by Little Italy,"Cafe, Coffee, Beverages, Shake, Panini, Italian, Desserts",900,Cafe," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/tutto-bene-health-cafe-by-little-italy-indiranagar-bangalore/info,Opens tomorrow at 8am,94,3.5,2.8,31
496,497,Nook - Aloft Bengaluru Cessna Business Park,"North Indian, Continental, Asian, Fast Food, South Indian, Desserts, Waffle",1200,North Indian," Aloft Bengaluru Cessna Business Park, Kadubeesanahalli, Bangalore",Aloft Bengaluru Cessna Business Park,https://www.zomato.com/bangalore/nook-aloft-bengaluru-cessna-business-park-kadubeesanahalli-bangalore/info,7am – 11:30pm (Today),777,3.9,3.9,236
497,498,World On A Plate - Citrine Hotel,"Continental, Mexican, Italian, Chinese, North Indian, Oriental, Burger, Desserts",1800,Continental," Citrine Hotel, Seshadripuram, Bangalore",Citrine Hotel,https://www.zomato.com/bangalore/world-on-a-plate-citrine-hotel-seshadripuram-bangalore/info,Opens tomorrow at 7:30am,202,4.3,4.0,164
498,499,Blurred,"North Indian, South Indian, Continental, Chinese",1000,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/blurred-koramangala-5th-block-bangalore/info,12noon – 12midnight (Today),637,4.1,0.0,1
499,500,Kozy Brew Cafe,"Coffee, Shake, Beverages, Momos, Sandwich, Pizza, Fast Food, Street Food",300,Coffee," Electronic City, Bangalore",Electronic City,https://www.zomato.com/bangalore/kozy-brew-cafe-electronic-city-bangalore/info,Opens tomorrow at 11:30am,52,4.1,0.0,4
500,501,Salvadores,"Continental, Pasta, Salad, Desserts, Beverages",2500,Continental," MG Road, Bangalore",MG Road,https://www.zomato.com/bangalore/salvadores-mg-road-bangalore/info,Opens tomorrow at 11am,648,4.6,0.0,0
